"","Generation","Date","pH","pCO2","Replicate","Number","Run","Length_um","Length_mm","Dry_Tissue_weight","ExcretionRate_umol_hr","ExcretionRate_umol_hr_bFactorNormLength.MEAN","ExcretionRate_umol_hr_bFactorNormTDW.MEAN"
"1","F1",20211026,7.5,"800 μatm","A",1,1,8900,8.9,0.0043,0.03,0.879820513056613,1.96917431385708
"2","F1",20211026,7.5,"800 μatm","A",2,2,13490,13.49,0.0143,0.03,0.241356967488725,0.674183747969499
"3","F1",20211026,7.5,"800 μatm","B",1,1,7030,7.03,0.003,0,0,0
"4","F1",20211026,7.5,"800 μatm","B",2,2,10100,10.1,0.0074,0.01,0.197895663157566,0.404447425999079
"5","F1",20211026,7.5,"800 μatm","B",3,3,9510,9.51,0.0065,0.04,0.954540441190657,1.8161764794515
"6","F1",20211026,7.5,"800 μatm","C",2,3,9550,9.55,0.0075,0.05,1.17770160795645,1.99816858702838
"7","F1",20211026,7.5,"800 μatm","C",3,3,9710,9.71,0.0067,0.05,1.11839173417356,2.20967320893662
"8","F1",20211026,7.5,"800 μatm","D",1,2,7420,7.42,0.0024,0,0,0
"9","F1",20211026,7.5,"800 μatm","D",2,3,8890,8.89,0.0053,0.03,0.88290205447191,1.63412001311379
"10","F1",20211026,8,"500 μatm","A",1,1,12610,12.61,0.0131,0.05,0.686478971043582,1.75621804453252
"11","F1",20211026,8,"500 μatm","A",2,2,14310,14.31,0.016,0.04,0.350537982262822,1.15147358199712
"12","F1",20211026,8,"500 μatm","B",1,1,8940,8.94,0.0069,0.02,0.931059841266916,1.32943932245452
"13","F1",20211026,8,"500 μatm","B",2,2,11610,11.61,0.0132,0.06,1.10456851889007,2.09157556131158
"14","F1",20211026,8,"500 μatm","C",1,1,14070,14.07,0.0194,0.06,0.558345468132422,1.42587645923491
"15","F1",20211026,8,"500 μatm","C",2,3,12530,12.53,0.0143,0.03,0.421299305973499,0.965728987243767
"16","F1",20211026,8,"500 μatm","D",1,2,8650,8.65,0.0038,0,0,0
"17","F1",20211026,8,"500 μatm","D",2,3,11400,11.4,0.01,0.05,0.982095165322627,2.2975415505017
"18","F1",20220202,7.5,"800 μatm","A",1,1,14900,14.9,0.039,0.18,1.06301393973776,1.65294972833674
"19","F1",20220202,7.5,"800 μatm","B",1,1,13600,13.6,0.0323,0.23,1.8042535990672,2.49882565375299
"20","F1",20220202,7.5,"800 μatm","C",2,3,15100,15.1,0.0424,0.21,1.18980759797696,1.78988743975252
"21","F1",20220202,7.5,"800 μatm","D",1,2,14750,14.75,0.0203,0.1,0.60944226042971,1.64410785397192
"22","F1",20220202,7.5,"800 μatm","E",1,2,13200,13.2,0.0264,0.1,0.860777335240858,1.30060693993393
"23","F1",20220202,7.5,"800 μatm","F",1,2,13000,13,0.0273,0.11,0.992897938021119,1.38852074868796
"24","F1",20220202,7.5,"800 μatm","G",1,3,14000,14,0.0362,0.35,2.50891300504519,3.43492112734798
"25","F1",20220202,7.5,"800 μatm","H",1,3,13600,13.6,0.0324,0.3,2.35337425965287,3.25036307333567
"26","F1",20220202,8,"500 μatm","A",1,1,14350,14.35,0.0335,0.25,2.16925971383282,3.44995790149539
"27","F1",20220202,8,"500 μatm","B",1,1,13800,13.8,0.0335,0.07,0.697787321589587,0.965988212418711
"28","F1",20220202,8,"500 μatm","C",2,3,14800,14.8,0.0397,0.1,0.777618709831445,1.16545850546323
"29","F1",20220202,8,"500 μatm","D",1,2,14000,14,0.0354,0.3,2.84159721899517,3.91882959256609
"30","F1",20220202,8,"500 μatm","E",1,2,14800,14.8,0.0382,0.21,1.63299929064603,2.54307763521484
"31","F1",20220202,8,"500 μatm","F",1,2,14200,14.2,0.0355,0.17,1.53116181479134,2.21444592688517
"32","F1",20220202,8,"500 μatm","G",1,3,14000,14,0.0323,0.08,0.757759258398711,1.14479268888939
"33","F1",20220202,8,"500 μatm","H",1,3,14000,14,0.0345,0.19,1.79967823869694,2.54634339424871
"34","F1",20220301,7.5,"800 μatm","A",1,1,22200,22.2,0.1763,1.44,2.46082364366246,3.44288248525351
"35","F1",20220301,7.5,"800 μatm","B",1,1,21900,21.9,0.1522,0.47,0.837900423804703,1.28115229167058
"36","F1",20220301,7.5,"800 μatm","B",2,3,21350,21.35,0.1436,1.46,2.81709310244377,4.19167753625623
"37","F1",20220301,7.5,"800 μatm","C",1,1,23750,23.75,0.1721,1.14,1.57930773060468,2.78487101346647
"38","F1",20220301,7.5,"800 μatm","D",1,2,22400,22.4,0.1968,0.93,1.54556530763243,2.01571595979167
"39","F1",20220301,7.5,"800 μatm","E",1,2,23450,23.45,0.1995,1.05,1.5132852326404,2.24831419292159
"40","F1",20220301,7.5,"800 μatm","F",1,2,23900,23.9,0.2425,1.32,1.79321436220938,2.37480429830558
"41","F1",20220301,7.5,"800 μatm","G",1,3,24300,24.3,0.2481,1.23,1.58688461578807,2.16827722197726
"42","F1",20220301,7.5,"800 μatm","H",1,3,23500,23.5,0.2242,0.79,1.13104996053439,1.52432263471314
"43","F1",20220301,8,"500 μatm","A",1,1,20200,20.2,0.1263,0.16,0.41239976783753,0.58954507920112
"44","F1",20220301,8,"500 μatm","B",1,1,20350,20.35,0.0803,0.58,1.45619694777154,3.35374004009214
"45","F1",20220301,8,"500 μatm","C",1,1,21900,21.9,0.1547,1.2,2.32166967812621,3.61353074206297
"46","F1",20220301,8,"500 μatm","D",1,2,23900,23.9,0.196,2.24,3.1778343927734,5.33023795258298
"47","F1",20220301,8,"500 μatm","E",1,2,23000,23,0.1099,0.03,0.0487734220666821,0.126946847574773
"48","F1",20220301,8,"500 μatm","E",2,3,21000,21,0.1175,2.23,5.00751383371703,8.82898046053312
"49","F1",20220301,8,"500 μatm","F",1,2,23700,23.7,0.1926,0.94,1.373937623438,2.2760836659574
"50","F1",20220301,8,"500 μatm","G",1,3,21200,21.2,0.142,1.13,2.45347664480131,3.70548373015676
"51","F1",20220301,8,"500 μatm","H",1,3,22050,22.05,0.1405,1.31,2.4738113551003,4.34136922133735
"52","F1",20220922,7.5,"800 μatm","A",1,1,43350,43.35,0.894,3.43,0.731364309016661,1.92716022269622
"53","F1",20220922,7.5,"800 μatm","A",2,1,36900,36.9,0.48,1.66,0.584160030911085,1.6242679469993
"54","F1",20220922,7.5,"800 μatm","B",1,1,42400,42.4,0.936,4,0.913751129126022,2.15724119009401
"55","F1",20220922,7.5,"800 μatm","B",2,1,39500,39.5,0.457,2.03,0.578035910497903,2.07523630849941
"56","F1",20220922,7.5,"800 μatm","C",1,1,45350,45.35,1.158,2.01,0.372491554535508,0.896571216655546
"57","F1",20220922,7.5,"800 μatm","C",2,1,44800,44.8,0.938,1.02,0.196336614271856,0.54905014393763
"58","F1",20220922,7.5,"800 μatm","D",1,1,45700,45.7,1.416,2.6,0.470445929361502,0.969263136587041
"59","F1",20220922,8,"500 μatm","A",1,2,43800,43.8,1.369,4.44,0.733408043741484,1.52740746605705
"60","F1",20220922,8,"500 μatm","A",2,2,45100,45.1,0.977,2.44,0.363294559097946,1.17418926449707
"61","F1",20220922,8,"500 μatm","A",3,2,46700,46.7,1.052,2.3,0.302585909930599,1.02828984004659
"62","F1",20220922,8,"500 μatm","B",1,2,44300,44.3,1.143,2.45,0.388712625860843,1.00856398321513
"63","F1",20220922,8,"500 μatm","B",2,2,42900,42.9,0.694,2.16,0.384083946054188,1.46081240428059
"64","F1",20220922,8,"500 μatm","C",1,2,45900,45.9,0.953,2.81,0.39306744634442,1.386124544213
"65","F1",20220922,8,"500 μatm","D",1,2,41900,41.9,0.741,2.39,0.462097810138363,1.51433567589543
"66","F1",20221026,7.5,"800 μatm","A",1,2,46490,46.49,1.2339,2.35,0.403139565080738,0.990519213145942
"67","F1",20221026,7.5,"800 μatm","B",1,2,45520,45.52,1.0538,1.34,0.245454805794434,0.650161515265354
"68","F1",20221026,7.5,"800 μatm","C",1,2,51740,51.74,1.8877,6.01,0.739179717156215,1.73364043328084
"69","F1",20221026,7.5,"800 μatm","D",1,2,50040,50.04,1.7971,7.97,1.0875701132069,2.40213078685177
"70","F1",20221026,7.5,"800 μatm","E",1,2,49860,49.86,2.83,2.88,0.39742818594368,0.578916272432179
"71","F1",20221026,7.5,"800 μatm","F",1,2,42580,42.58,1.4466,1.58,0.356207650351626,0.577887139669454
"72","F1",20221026,7.5,"800 μatm","G",1,2,57870,57.87,0.8803,8.54,0.74148657078522,4.86478951569011
"73","F1",20221026,8,"500 μatm","A",1,1,55980,55.98,2.0565,1.33,0.0919455378901849,0.30519818081011
"74","F1",20221026,8,"500 μatm","C",1,1,47160,47.16,1.1035,2.71,0.344332570427976,1.15532503686647
"75","F1",20221026,8,"500 μatm","D",1,1,53930,53.93,2.131,9.45,0.745812413312826,2.09307430358103
"76","F1",20221026,8,"500 μatm","E",1,1,43660,43.66,0.7993,2.31,0.385931763998951,1.35740387890885
"77","F1",20221026,8,"500 μatm","F",1,1,48110,48.11,1.0177,1.02,0.120742578398156,0.471315655763073
"78","F1",20221026,8,"500 μatm","G",1,1,46790,46.79,1.3842,4.16,0.543557898864902,1.4154477742906
